date,channel,campaign,spend,attributed_revenue,conversions,impressions,roas
2026-02-17,Meta,Everyday_Comfort,28043.36,91550.73,89573,2832462,3.26
2026-02-17,Google,Brand_Search,26543.01,76996.44,83994,2517988,2.9
2026-02-17,Influencer,Lifestyle_Campaign,17327.32,39150.57,59583,2353394,2.26
2026-02-18,Meta,Running_Summer,30106.25,88429.58,83155,2748147,2.94
2026-02-18,Google,Running_Search,22803.85,88027.6,106822,3522006,3.86
2026-02-18,Influencer,Creator_Reviews,16041.65,53162.39,81341,2625529,3.31
2026-02-19,Meta,Running_Summer,33539.45,100361.48,163395,5680488,2.99
2026-02-19,Google,Shopping,26413.96,75046.74,135357,4595833,2.84
2026-02-19,Influencer,Creator_Reviews,13656.46,43678.6,21615,1300443,3.2
2026-02-20,Meta,Running_Summer,30548.63,78854.42,99850,4522208,2.58
2026-02-20,Google,Shopping,23537.86,79465.31,105372,4009680,3.38
2026-02-20,Influencer,Lifestyle_Campaign,17536.27,65725.41,67965,2692302,3.75
2026-02-21,Meta,Everyday_Comfort,30605.6,84603.23,85484,3859951,2.76
2026-02-21,Google,Running_Search,23513.1,82354.77,87521,3895143,3.5
2026-02-21,Influencer,Lifestyle_Campaign,14754.28,43963.24,45390,1779546,2.98
2026-02-22,Meta,Running_Summer,29434.35,84378.82,70238,4120522,2.87
2026-02-22,Google,Shopping,21905.36,68225.18,66811,2970068,3.11
2026-02-22,Influencer,Creator_Reviews,16941.05,49055.44,45650,1783257,2.9
2026-02-23,Meta,Running_Summer,33311.62,99658.49,99715,5617419,2.99
2026-02-23,Google,Shopping,23298.9,78163.56,51166,2119840,3.35
2026-02-23,Influencer,Creator_Reviews,11719.26,33685.73,34400,1337228,2.87
2026-02-24,Meta,Retargeting,25824.6,66191.12,40235,2353972,2.56
2026-02-24,Google,Shopping,26151.78,86824.04,102458,4170832,3.32
2026-02-24,Influencer,Creator_Reviews,15211.07,48025.14,62707,2300365,3.16
2026-02-25,Meta,Everyday_Comfort,28985.3,76522.66,101527,3268837,2.64
2026-02-25,Google,Shopping,27293.0,91995.92,112328,4586924,3.37
2026-02-25,Influencer,Fitness_Creators,15357.61,50612.24,36618,1639272,3.3
2026-02-26,Meta,Running_Summer,27086.88,75198.05,98758,3741841,2.78
2026-02-26,Google,Running_Search,23173.06,66385.94,72202,2466997,2.86
2026-02-26,Influencer,Creator_Reviews,12137.31,35733.19,37289,1731004,2.94
2026-02-27,Meta,Running_Summer,27412.22,78696.53,67720,4417815,2.87
2026-02-27,Google,Shopping,27044.74,91097.69,81100,4127920,3.37
2026-02-27,Influencer,Fitness_Creators,16105.23,41878.31,64135,2518224,2.6
2026-02-28,Meta,Running_Summer,30181.65,66449.31,135068,4908899,2.2
2026-02-28,Google,Brand_Search,24480.45,68169.26,86817,3526819,2.78
2026-02-28,Influencer,Lifestyle_Campaign,17332.57,55390.84,39318,1682606,3.2
2026-03-01,Meta,Retargeting,35730.33,106032.84,104436,5342223,2.97
2026-03-01,Google,Shopping,23910.27,77234.74,111995,4152273,3.23
2026-03-01,Influencer,Creator_Reviews,18494.11,54052.56,55577,2058956,2.92
2026-03-02,Meta,Running_Summer,31788.47,87911.95,64326,3447796,2.77
2026-03-02,Google,Shopping,26314.34,91249.39,102572,3948947,3.47
2026-03-02,Influencer,Fitness_Creators,19839.09,53499.71,46601,2064216,2.7
2026-03-03,Meta,Running_Summer,34312.42,90243.6,94657,3678684,2.63
2026-03-03,Google,Running_Search,23896.1,68471.76,105517,4330810,2.87
2026-03-03,Influencer,Fitness_Creators,18128.44,49471.52,73622,2924575,2.73
2026-03-04,Meta,Running_Summer,29073.29,80265.35,92717,3784681,2.76
2026-03-04,Google,Shopping,24062.3,69721.81,51262,2430349,2.9
2026-03-04,Influencer,Lifestyle_Campaign,19145.35,52492.69,83648,3301933,2.74
2026-03-05,Meta,Retargeting,33961.25,88555.04,105920,4185185,2.61
2026-03-05,Google,Running_Search,22315.32,72820.73,91428,3122840,3.26
2026-03-05,Influencer,Creator_Reviews,15336.14,50519.8,51561,2181671,3.29
2026-03-06,Meta,Running_Summer,32072.2,98155.17,57978,3128958,3.06
2026-03-06,Google,Shopping,24239.27,71928.79,106352,3566593,2.97
2026-03-06,Influencer,Fitness_Creators,16993.22,50250.11,48954,1901648,2.96
2026-03-07,Meta,Retargeting,32351.28,92190.95,80574,3533725,2.85
2026-03-07,Google,Running_Search,27392.25,90608.77,96502,4189652,3.31
2026-03-07,Influencer,Lifestyle_Campaign,15716.45,47273.62,45763,1521925,3.01
2026-03-08,Meta,Retargeting,29038.11,82429.97,83779,2862819,2.84
2026-03-08,Google,Shopping,21805.46,66681.52,86696,3682848,3.06
2026-03-08,Influencer,Creator_Reviews,18461.51,50560.8,47665,1717089,2.74
2026-03-09,Meta,Running_Summer,35195.48,93937.69,166421,6309439,2.67
2026-03-09,Google,Shopping,25551.9,86488.6,102042,3279671,3.38
2026-03-09,Influencer,Creator_Reviews,17677.21,50420.37,49646,1658289,2.85
2026-03-10,Meta,Retargeting,32672.05,86409.2,81562,3477302,2.64
2026-03-10,Google,Brand_Search,29427.51,96951.31,83444,3555410,3.29
2026-03-10,Influencer,Fitness_Creators,14389.0,44506.35,46440,1560688,3.09
2026-03-11,Meta,Retargeting,33071.03,97052.08,65751,3038606,2.93
2026-03-11,Google,Running_Search,21380.91,74068.93,62800,2866356,3.46
2026-03-11,Influencer,Creator_Reviews,15704.67,41730.74,42835,1483952,2.66
2026-03-12,Meta,Everyday_Comfort,26848.89,70558.71,83896,3217355,2.63
2026-03-12,Google,Shopping,22810.73,76622.14,80908,3009710,3.36
2026-03-12,Influencer,Fitness_Creators,17903.34,58893.24,42405,1801211,3.29
2026-03-13,Meta,Everyday_Comfort,33520.38,100730.66,82783,3365308,3.01
2026-03-13,Google,Brand_Search,25162.74,82163.41,69071,2516738,3.27
2026-03-13,Influencer,Fitness_Creators,18008.73,56448.6,50408,1979815,3.13
2026-03-14,Meta,Retargeting,34573.77,94081.52,109062,5236630,2.72
2026-03-14,Google,Shopping,26231.12,88670.09,66363,2838192,3.38
2026-03-14,Influencer,Lifestyle_Campaign,18545.91,66236.35,53859,2266907,3.57
2026-03-15,Meta,Running_Summer,32927.21,98197.11,156616,5823414,2.98
2026-03-15,Google,Running_Search,21536.1,68031.34,100811,3540330,3.16
2026-03-15,Influencer,Creator_Reviews,16408.88,61707.68,38718,1570838,3.76
2026-03-16,Meta,Retargeting,33537.06,109752.52,85952,3788957,3.27
2026-03-16,Google,Brand_Search,26296.35,87152.55,79608,3048932,3.31
2026-03-16,Influencer,Fitness_Creators,17335.54,48743.14,67969,2121798,2.81
2026-03-17,Meta,Everyday_Comfort,31636.61,101114.11,91663,3019841,3.2
2026-03-17,Google,Shopping,23268.8,79276.59,93346,3285274,3.41
2026-03-17,Influencer,Lifestyle_Campaign,16224.96,45595.4,55215,1897122,2.81
2026-03-18,Meta,Running_Summer,31665.73,86380.03,79007,3650663,2.73
2026-03-18,Google,Brand_Search,23243.23,80149.45,99628,3480537,3.45
2026-03-18,Influencer,Lifestyle_Campaign,15793.43,43266.04,55547,2400464,2.74
2026-03-19,Meta,Running_Summer,29906.8,76513.91,104995,4674729,2.56
2026-03-19,Google,Shopping,22894.5,74641.48,81739,3017483,3.26
2026-03-19,Influencer,Creator_Reviews,16187.45,50473.75,67072,2224407,3.12
2026-03-20,Meta,Everyday_Comfort,31352.79,92024.52,131997,4898084,2.94
2026-03-20,Google,Running_Search,25439.93,97692.58,64726,2682395,3.84
2026-03-20,Influencer,Lifestyle_Campaign,16891.77,45173.22,76045,2923153,2.67
2026-03-21,Meta,Retargeting,29280.03,88130.56,80633,2954618,3.01
2026-03-21,Google,Shopping,27043.43,86045.91,108902,3857052,3.18
2026-03-21,Influencer,Lifestyle_Campaign,16013.05,57869.44,63484,2466231,3.61
2026-03-22,Meta,Retargeting,28685.04,80567.35,132633,4237082,2.81
2026-03-22,Google,Shopping,26770.64,82150.72,116543,4626669,3.07
2026-03-22,Influencer,Creator_Reviews,16862.65,58519.54,50369,2057363,3.47
2026-03-23,Meta,Running_Summer,30558.75,101077.13,93154,4362251,3.31
2026-03-23,Google,Shopping,23330.55,80988.04,68064,2515555,3.47
2026-03-23,Influencer,Lifestyle_Campaign,17523.56,49540.94,40421,1767938,2.83
2026-03-24,Meta,Retargeting,29368.81,91736.95,69269,3476477,3.12
2026-03-24,Google,Shopping,25916.97,81426.11,97920,4045005,3.14
2026-03-24,Influencer,Creator_Reviews,16225.57,53764.26,57386,2749642,3.31
2026-03-25,Meta,Everyday_Comfort,33654.12,77942.99,93577,4764742,2.32
2026-03-25,Google,Shopping,24070.37,82832.22,57739,3175854,3.44
2026-03-25,Influencer,Creator_Reviews,17701.8,50616.52,32577,1937740,2.86
2026-03-26,Meta,Running_Summer,31299.7,98645.89,105137,4588973,3.15
2026-03-26,Google,Shopping,28710.62,99254.13,60373,2705138,3.46
2026-03-26,Influencer,Creator_Reviews,15782.55,52633.16,63365,2733500,3.33
2026-03-27,Meta,Running_Summer,30560.58,95415.09,76383,3441091,3.12
2026-03-27,Google,Brand_Search,25221.69,87792.99,85194,3771702,3.48
2026-03-27,Influencer,Lifestyle_Campaign,17274.78,51296.48,36520,1686501,2.97
2026-03-28,Meta,Everyday_Comfort,33886.93,108614.41,97280,3785854,3.21
2026-03-28,Google,Shopping,29273.17,99934.39,126594,4144348,3.41
2026-03-28,Influencer,Lifestyle_Campaign,15685.56,42305.6,42598,1798286,2.7
2026-03-29,Meta,Retargeting,28008.16,77710.71,59302,2948874,2.77
2026-03-29,Google,Running_Search,24327.07,67179.38,101909,3972990,2.76
2026-03-29,Influencer,Creator_Reviews,14834.38,47283.48,26670,1429334,3.19
2026-03-30,Meta,Everyday_Comfort,32171.22,84083.31,131532,4381394,2.61
2026-03-30,Google,Brand_Search,24069.02,70123.68,75751,2620595,2.91
2026-03-30,Influencer,Lifestyle_Campaign,16016.42,49896.02,64806,2126641,3.12
2026-03-31,Meta,Running_Summer,29876.92,94645.73,94339,3656852,3.17
2026-03-31,Google,Brand_Search,28684.06,101408.39,89013,3261017,3.54
2026-03-31,Influencer,Lifestyle_Campaign,15483.56,43671.8,64387,2267022,2.82
2026-04-01,Meta,Retargeting,35833.19,101022.86,123226,5314141,2.82
2026-04-01,Google,Shopping,28505.78,101423.98,52026,3113928,3.56
2026-04-01,Influencer,Fitness_Creators,15533.19,40299.59,63081,2194973,2.59
2026-04-02,Meta,Everyday_Comfort,39019.05,122738.52,115521,3749755,3.15
2026-04-02,Google,Running_Search,29860.56,102912.71,121848,4536820,3.45
2026-04-02,Influencer,Creator_Reviews,18420.5,50892.51,62568,2438253,2.76
2026-04-03,Meta,Everyday_Comfort,31892.38,78448.96,96438,4302527,2.46
2026-04-03,Google,Running_Search,28726.48,92179.55,52541,2677887,3.21
2026-04-03,Influencer,Lifestyle_Campaign,18840.21,53536.73,108358,3407334,2.84
2026-04-04,Meta,Retargeting,34310.93,94912.38,112949,5112703,2.77
2026-04-04,Google,Shopping,27810.29,108451.92,88509,5054381,3.9
2026-04-04,Influencer,Lifestyle_Campaign,18071.39,51891.11,36913,1679600,2.87
2026-04-05,Meta,Everyday_Comfort,35700.3,103187.74,135989,4693030,2.89
2026-04-05,Google,Running_Search,30326.92,110037.06,109974,3239559,3.63
2026-04-05,Influencer,Creator_Reviews,19090.21,60631.84,57578,2297197,3.18
2026-04-06,Meta,Everyday_Comfort,35804.32,104124.99,81219,3328543,2.91
2026-04-06,Google,Shopping,26658.9,91074.1,54934,2719611,3.42
2026-04-06,Influencer,Fitness_Creators,19058.99,62456.82,66844,2132828,3.28
2026-04-07,Meta,Running_Summer,37646.92,119154.15,111652,3700291,3.17
2026-04-07,Google,Brand_Search,26436.04,83131.93,103517,4164639,3.14
2026-04-07,Influencer,Creator_Reviews,17292.17,50678.84,63525,2448225,2.93
2026-04-08,Meta,Everyday_Comfort,35989.04,108790.6,105540,4171148,3.02
2026-04-08,Google,Shopping,25307.48,86210.85,101797,3982442,3.41
2026-04-08,Influencer,Creator_Reviews,17831.11,61616.63,42225,1958968,3.46
2026-04-09,Meta,Retargeting,34370.39,95021.1,86441,3480386,2.76
2026-04-09,Google,Running_Search,24233.78,74921.83,91678,3645251,3.09
2026-04-09,Influencer,Lifestyle_Campaign,19017.54,61244.63,67301,2179490,3.22
2026-04-10,Meta,Retargeting,31977.17,92900.46,119017,4605380,2.91
2026-04-10,Google,Running_Search,27718.13,83711.86,89608,2888365,3.02
2026-04-10,Influencer,Lifestyle_Campaign,17785.09,60342.41,78505,2883425,3.39
2026-04-11,Meta,Running_Summer,30427.78,83288.16,100537,3537769,2.74
2026-04-11,Google,Shopping,28429.11,98163.08,74211,2587428,3.45
2026-04-11,Influencer,Lifestyle_Campaign,17446.62,50401.55,63040,2117430,2.89
2026-04-12,Meta,Everyday_Comfort,32011.59,80222.5,92175,3883509,2.51
2026-04-12,Google,Shopping,28989.2,86359.64,123952,4642525,2.98
2026-04-12,Influencer,Fitness_Creators,19965.43,57817.78,78131,3234385,2.9
2026-04-13,Meta,Retargeting,35743.3,99972.1,85397,3975080,2.8
2026-04-13,Google,Brand_Search,26967.84,85579.58,61281,2510484,3.17
2026-04-13,Influencer,Creator_Reviews,15863.8,46294.19,34992,1680962,2.92
2026-04-14,Meta,Everyday_Comfort,29079.74,67509.34,112117,3394553,2.32
2026-04-14,Google,Running_Search,28242.52,97139.67,59848,2812298,3.44
2026-04-14,Influencer,Fitness_Creators,15928.76,53885.12,45368,1664961,3.38
2026-04-15,Meta,Retargeting,35041.24,84357.01,105198,3665280,2.41
2026-04-15,Google,Running_Search,31841.42,105439.27,85568,3072797,3.31
2026-04-15,Influencer,Fitness_Creators,20988.3,58968.05,59485,2080468,2.81
2026-04-16,Meta,Everyday_Comfort,36839.52,89306.21,108321,4665538,2.42
2026-04-16,Google,Brand_Search,27637.47,79320.73,112341,3923880,2.87
2026-04-16,Influencer,Lifestyle_Campaign,15265.89,45078.47,47541,1503597,2.95
2026-04-17,Meta,Retargeting,33163.88,93904.14,145506,5604762,2.83
2026-04-17,Google,Shopping,24670.34,82478.65,115355,3558691,3.34
2026-04-17,Influencer,Lifestyle_Campaign,19055.03,57740.08,43121,1839206,3.03
2026-04-18,Meta,Everyday_Comfort,34652.86,101580.77,109971,4155272,2.93
2026-04-18,Google,Brand_Search,25731.55,86030.62,130740,3888201,3.34
2026-04-18,Influencer,Lifestyle_Campaign,17724.79,49304.96,69336,2896294,2.78
2026-04-19,Meta,Retargeting,35309.0,96339.64,161105,6060305,2.73
2026-04-19,Google,Running_Search,25941.54,86811.01,74700,3727740,3.35
2026-04-19,Influencer,Lifestyle_Campaign,20584.86,63124.56,60384,2241572,3.07
2026-04-20,Meta,Running_Summer,38120.23,90037.86,69027,3620877,2.36
2026-04-20,Google,Brand_Search,25669.97,93919.36,85884,2802577,3.66
2026-04-20,Influencer,Creator_Reviews,18585.02,58671.5,51497,1811408,3.16
2026-04-21,Meta,Everyday_Comfort,32959.18,88826.18,103520,5031614,2.7
2026-04-21,Google,Shopping,27578.53,90711.2,66264,2622279,3.29
2026-04-21,Influencer,Fitness_Creators,19076.15,56003.03,36811,1739544,2.94
2026-04-22,Meta,Retargeting,35229.58,106454.58,106506,3710956,3.02
2026-04-22,Google,Brand_Search,27649.53,98237.57,70311,3599723,3.55
2026-04-22,Influencer,Lifestyle_Campaign,15421.19,48520.31,46280,1729974,3.15
2026-04-23,Meta,Everyday_Comfort,33659.32,100495.9,153552,5569313,2.99
2026-04-23,Google,Brand_Search,23459.12,69531.75,79250,3004623,2.96
2026-04-23,Influencer,Creator_Reviews,18612.76,59825.09,54131,2720551,3.21
2026-04-24,Meta,Running_Summer,33702.97,97067.85,135971,5044667,2.88
2026-04-24,Google,Brand_Search,26379.69,86911.03,98412,4276651,3.29
2026-04-24,Influencer,Creator_Reviews,19988.14,57294.81,82260,2964822,2.87
2026-04-25,Meta,Everyday_Comfort,33909.71,97514.91,143363,5332302,2.88
2026-04-25,Google,Shopping,26211.07,94560.05,35447,2884107,3.61
2026-04-25,Influencer,Creator_Reviews,16059.51,46928.75,39134,1882411,2.92
2026-04-26,Meta,Everyday_Comfort,28682.88,80110.89,81621,2638420,2.79
2026-04-26,Google,Brand_Search,27479.45,82252.55,64574,2645594,2.99
2026-04-26,Influencer,Creator_Reviews,17593.05,52075.32,60487,2685875,2.96
