date,product_id,category,opening_stock,units_sold,closing_stock,reorder_level,availability_pct,low_stock_flag,stockout_flag
2026-01-02,P011,Running,199,8,193,65,100.0,0,0
2026-01-02,P012,Running,153,5,149,43,100.0,0,0
2026-01-02,P013,Running,147,8,141,53,100.0,0,0
2026-01-02,P014,Running,214,7,210,63,100.0,0,0
2026-01-02,P015,Running,149,2,148,59,100.0,0,0
2026-01-02,P016,Running,193,5,190,64,100.0,0,0
2026-01-02,P017,Casual,155,7,151,57,100.0,0,0
2026-01-02,P018,Casual,158,7,152,63,100.0,0,0
2026-01-02,P019,Casual,138,10,131,64,100.0,0,0
2026-01-02,P020,Casual,125,3,123,52,100.0,0,0
2026-01-02,P021,Casual,123,6,118,62,95.16,0,0
2026-01-02,P022,Casual,128,2,127,46,100.0,0,0
2026-01-02,P023,Casual,133,11,125,62,100.0,0,0
2026-01-02,P024,Casual,111,2,110,50,100.0,0,0
2026-01-02,P025,Casual,139,4,136,57,100.0,0,0
2026-01-02,P026,Casual,164,3,162,45,100.0,0,0
2026-01-02,P027,Casual,90,4,87,43,100.0,0,0
2026-01-02,P028,Casual,181,7,175,57,100.0,0,0
2026-01-02,P029,Casual,150,12,143,60,100.0,0,0
2026-01-02,P030,Casual,160,5,157,49,100.0,0,0
2026-01-02,P031,Casual,105,4,102,48,100.0,0,0
2026-01-02,P032,Casual,73,9,66,25,100.0,0,0
2026-01-02,P033,Formal,166,3,165,52,100.0,0,0
2026-01-02,P034,Formal,125,2,124,39,100.0,0,0
2026-01-02,P035,Formal,190,3,188,64,100.0,0,0
2026-01-02,P036,Formal,60,2,59,31,95.16,0,0
2026-01-02,P037,Formal,170,3,168,50,100.0,0,0
2026-01-02,P038,Formal,113,4,111,44,100.0,0,0
2026-01-02,P039,Formal,98,7,94,40,100.0,0,0
2026-01-02,P040,Formal,68,6,65,25,100.0,0,0
2026-01-02,P041,Lounge,171,2,170,64,100.0,0,0
2026-01-02,P042,Lounge,160,4,157,64,100.0,0,0
2026-01-02,P043,Lounge,77,0,77,29,100.0,0,0
2026-01-02,P044,Lounge,95,3,94,30,100.0,0,0
2026-01-02,P045,Lounge,116,4,113,48,100.0,0,0
2026-01-02,P046,Lounge,100,0,100,34,100.0,0,0
2026-01-02,P047,Slip-On,166,4,164,60,100.0,0,0
2026-01-02,P048,Slip-On,219,8,212,60,100.0,0,0
2026-01-02,P049,Slip-On,104,3,102,32,100.0,0,0
2026-01-02,P050,Slip-On,96,4,94,50,94.0,0,0
2026-01-02,P051,Slip-On,168,8,163,53,100.0,0,0
2026-01-02,P052,Slip-On,143,9,138,58,100.0,0,0
2026-01-03,P001,Running,50,12,42,25,84.0,0,0
2026-01-03,P002,Running,144,7,139,39,100.0,0,0
2026-01-03,P003,Running,136,11,127,62,100.0,0,0
2026-01-03,P004,Running,223,8,217,64,100.0,0,0
2026-01-03,P005,Running,201,9,196,62,100.0,0,0
2026-01-03,P006,Running,122,5,119,52,100.0,0,0
2026-01-03,P007,Running,107,11,99,39,100.0,0,0
2026-01-03,P008,Running,116,5,113,40,100.0,0,0
2026-01-03,P009,Running,100,14,88,36,100.0,0,0
2026-01-03,P010,Running,161,6,156,56,100.0,0,0
2026-01-03,P011,Running,192,4,190,65,100.0,0,0
2026-01-03,P012,Running,94,10,86,43,100.0,0,0
2026-01-03,P013,Running,158,8,153,53,100.0,0,0
2026-01-03,P014,Running,218,11,210,63,100.0,0,0
2026-01-03,P015,Running,141,9,135,59,100.0,0,0
2026-01-03,P016,Running,200,8,194,64,100.0,0,0
2026-01-03,P017,Casual,145,7,139,57,100.0,0,0
2026-01-03,P018,Casual,127,5,124,63,98.41,0,0
2026-01-03,P019,Casual,228,11,219,64,100.0,0,0
2026-01-03,P020,Casual,182,13,174,52,100.0,0,0
2026-01-03,P021,Casual,154,9,148,62,100.0,0,0
2026-01-03,P022,Casual,175,6,171,46,100.0,0,0
2026-01-03,P023,Casual,131,5,127,62,100.0,0,0
2026-01-03,P024,Casual,182,3,180,50,100.0,0,0
2026-01-03,P025,Casual,134,3,133,57,100.0,0,0
2026-01-03,P026,Casual,92,10,86,45,95.56,0,0
2026-01-03,P027,Casual,113,7,110,43,100.0,0,0
2026-01-03,P028,Casual,132,3,131,57,100.0,0,0
2026-01-03,P029,Casual,138,4,136,60,100.0,0,0
2026-01-03,P030,Casual,152,4,149,49,100.0,0,0
2026-01-03,P031,Casual,145,7,141,48,100.0,0,0
2026-01-03,P032,Casual,75,5,71,25,100.0,0,0
2026-01-03,P033,Formal,196,1,196,52,100.0,0,0
2026-01-03,P034,Formal,99,4,96,39,100.0,0,0
2026-01-03,P035,Formal,180,2,179,64,100.0,0,0
2026-01-03,P036,Formal,100,2,99,31,100.0,0,0
2026-01-03,P037,Formal,139,1,139,50,100.0,0,0
2026-01-03,P038,Formal,85,6,82,44,93.18,0,0
2026-01-03,P039,Formal,135,1,135,40,100.0,0,0
2026-01-03,P040,Formal,89,2,88,25,100.0,0,0
2026-01-03,P041,Lounge,147,11,140,64,100.0,0,0
2026-01-03,P042,Lounge,128,7,123,64,96.09,0,0
2026-01-03,P043,Lounge,103,0,103,29,100.0,0,0
2026-01-03,P044,Lounge,91,1,91,30,100.0,0,0
2026-01-03,P045,Lounge,126,1,126,48,100.0,0,0
2026-01-03,P046,Lounge,107,2,106,34,100.0,0,0
2026-01-03,P047,Slip-On,191,1,191,60,100.0,0,0
2026-01-03,P048,Slip-On,175,8,169,60,100.0,0,0
2026-01-03,P049,Slip-On,69,4,67,32,100.0,0,0
2026-01-03,P050,Slip-On,166,2,165,50,100.0,0,0
2026-01-03,P051,Slip-On,182,9,176,53,100.0,0,0
2026-01-03,P052,Slip-On,180,3,178,58,100.0,0,0
2026-01-04,P001,Running,96,5,92,25,100.0,0,0
2026-01-04,P002,Running,125,4,123,39,100.0,0,0
2026-01-04,P003,Running,140,8,135,62,100.0,0,0
2026-01-04,P004,Running,155,15,144,64,100.0,0,0
2026-01-04,P005,Running,133,4,130,62,100.0,0,0
2026-01-04,P006,Running,152,3,151,52,100.0,0,0
2026-01-04,P007,Running,136,7,131,39,100.0,0,0
2026-01-04,P008,Running,153,14,144,40,100.0,0,0
2026-01-04,P009,Running,135,4,133,36,100.0,0,0
2026-01-04,P010,Running,177,7,174,56,100.0,0,0
2026-01-04,P011,Running,186,17,172,65,100.0,0,0
2026-01-04,P012,Running,141,4,139,43,100.0,0,0
2026-01-04,P013,Running,123,10,116,53,100.0,0,0
2026-01-04,P014,Running,217,10,212,63,100.0,0,0
2026-01-04,P015,Running,159,5,155,59,100.0,0,0
2026-01-04,P016,Running,211,6,207,64,100.0,0,0
2026-01-04,P017,Casual,115,1,115,57,100.0,0,0
2026-01-04,P018,Casual,134,3,133,63,100.0,0,0
2026-01-04,P019,Casual,144,13,137,64,100.0,0,0
2026-01-04,P020,Casual,164,3,162,52,100.0,0,0
2026-01-04,P021,Casual,157,2,156,62,100.0,0,0
2026-01-04,P022,Casual,86,1,86,46,93.48,0,0
2026-01-04,P023,Casual,191,4,189,62,100.0,0,0
2026-01-04,P024,Casual,101,1,101,50,100.0,0,0
2026-01-04,P025,Casual,210,5,206,57,100.0,0,0
2026-01-04,P026,Casual,114,10,108,45,100.0,0,0
2026-01-04,P027,Casual,124,5,121,43,100.0,0,0
2026-01-04,P028,Casual,114,11,108,57,94.74,0,0
2026-01-04,P029,Casual,122,5,119,60,99.17,0,0
2026-01-04,P030,Casual,116,3,115,49,100.0,0,0
2026-01-04,P031,Casual,178,8,174,48,100.0,0,0
2026-01-04,P032,Casual,79,14,72,25,100.0,0,0
2026-01-04,P033,Formal,146,4,143,52,100.0,0,0
2026-01-04,P034,Formal,133,8,128,39,100.0,0,0
2026-01-04,P035,Formal,205,2,204,64,100.0,0,0
2026-01-04,P036,Formal,77,5,74,31,100.0,0,0
2026-01-04,P037,Formal,110,0,110,50,100.0,0,0
2026-01-04,P038,Formal,138,1,138,44,100.0,0,0
2026-01-04,P039,Formal,75,2,74,40,92.5,0,0
2026-01-04,P040,Formal,51,1,51,25,100.0,0,0
2026-01-04,P041,Lounge,194,4,192,64,100.0,0,0
2026-01-04,P042,Lounge,199,3,197,64,100.0,0,0
2026-01-04,P043,Lounge,79,4,77,29,100.0,0,0
2026-01-04,P044,Lounge,87,1,87,30,100.0,0,0
2026-01-04,P045,Lounge,157,2,156,48,100.0,0,0
2026-01-04,P046,Lounge,89,1,89,34,100.0,0,0
2026-01-04,P047,Slip-On,177,5,173,60,100.0,0,0
2026-01-04,P048,Slip-On,179,2,178,60,100.0,0,0
2026-01-04,P049,Slip-On,63,4,61,32,95.31,0,0
2026-01-04,P050,Slip-On,114,6,111,50,100.0,0,0
2026-01-04,P051,Slip-On,113,5,110,53,100.0,0,0
2026-01-04,P052,Slip-On,200,5,197,58,100.0,0,0
2026-01-05,P001,Running,52,7,48,25,96.0,0,0
2026-01-05,P002,Running,107,5,105,39,100.0,0,0
2026-01-05,P003,Running,215,9,210,62,100.0,0,0
2026-01-05,P004,Running,133,6,128,64,100.0,0,0
2026-01-05,P005,Running,135,9,130,62,100.0,0,0
2026-01-05,P006,Running,150,3,149,52,100.0,0,0
2026-01-05,P007,Running,86,8,79,39,100.0,0,0
2026-01-05,P008,Running,137,13,128,40,100.0,0,0
2026-01-05,P009,Running,98,7,92,36,100.0,0,0
2026-01-05,P010,Running,209,6,205,56,100.0,0,0
2026-01-05,P011,Running,141,9,134,65,100.0,0,0
2026-01-05,P012,Running,119,7,114,43,100.0,0,0
2026-01-05,P013,Running,99,12,90,53,84.91,0,0
2026-01-05,P014,Running,211,1,211,63,100.0,0,0
2026-01-05,P015,Running,181,6,177,59,100.0,0,0
2026-01-05,P016,Running,217,12,210,64,100.0,0,0
2026-01-05,P017,Casual,158,4,155,57,100.0,0,0
2026-01-05,P018,Casual,180,6,176,63,100.0,0,0
2026-01-05,P019,Casual,154,8,150,64,100.0,0,0
2026-01-05,P020,Casual,184,9,178,52,100.0,0,0
2026-01-05,P021,Casual,233,6,228,62,100.0,0,0
2026-01-05,P022,Casual,96,12,89,46,96.74,0,0
2026-01-05,P023,Casual,159,18,145,62,100.0,0,0
2026-01-05,P024,Casual,143,6,138,50,100.0,0,0
2026-01-05,P025,Casual,117,7,112,57,98.25,0,0
2026-01-05,P026,Casual,155,3,153,45,100.0,0,0
2026-01-05,P027,Casual,105,4,102,43,100.0,0,0
2026-01-05,P028,Casual,120,7,116,57,100.0,0,0
2026-01-05,P029,Casual,202,4,199,60,100.0,0,0
2026-01-05,P030,Casual,153,5,151,49,100.0,0,0
2026-01-05,P031,Casual,110,10,104,48,100.0,0,0
2026-01-05,P032,Casual,55,8,50,25,100.0,0,0
2026-01-05,P033,Formal,145,4,143,52,100.0,0,0
2026-01-05,P034,Formal,108,1,108,39,100.0,0,0
2026-01-05,P035,Formal,236,4,233,64,100.0,0,0
2026-01-05,P036,Formal,84,2,83,31,100.0,0,0
2026-01-05,P037,Formal,112,5,109,50,100.0,0,0
2026-01-05,P038,Formal,168,2,167,44,100.0,0,0
2026-01-05,P039,Formal,134,3,133,40,100.0,0,0
2026-01-05,P040,Formal,86,4,83,25,100.0,0,0
2026-01-05,P041,Lounge,207,4,205,64,100.0,0,0
2026-01-05,P042,Lounge,221,4,219,64,100.0,0,0
2026-01-05,P043,Lounge,85,1,85,29,100.0,0,0
2026-01-05,P044,Lounge,87,2,86,30,100.0,0,0
2026-01-05,P045,Lounge,174,1,174,48,100.0,0,0
2026-01-05,P046,Lounge,79,4,77,34,100.0,0,0
2026-01-05,P047,Slip-On,161,9,154,60,100.0,0,0
2026-01-05,P048,Slip-On,195,5,192,60,100.0,0,0
2026-01-05,P049,Slip-On,122,5,118,32,100.0,0,0
2026-01-05,P050,Slip-On,131,4,128,50,100.0,0,0
2026-01-05,P051,Slip-On,194,1,194,53,100.0,0,0
2026-01-05,P052,Slip-On,214,3,212,58,100.0,0,0
2026-01-06,P001,Running,53,9,48,25,96.0,0,0
2026-01-06,P002,Running,132,7,127,39,100.0,0,0
2026-01-06,P003,Running,152,10,144,62,100.0,0,0
2026-01-06,P004,Running,184,3,182,64,100.0,0,0
2026-01-06,P005,Running,171,13,162,62,100.0,0,0
2026-01-06,P006,Running,192,5,189,52,100.0,0,0
2026-01-06,P007,Running,141,6,137,39,100.0,0,0
2026-01-06,P008,Running,96,9,90,40,100.0,0,0
2026-01-06,P009,Running,119,5,117,36,100.0,0,0
2026-01-06,P010,Running,175,9,170,56,100.0,0,0
2026-01-06,P011,Running,145,5,141,65,100.0,0,0
2026-01-06,P012,Running,97,7,91,43,100.0,0,0
2026-01-06,P013,Running,118,8,113,53,100.0,0,0
2026-01-06,P014,Running,197,6,192,63,100.0,0,0
2026-01-06,P015,Running,165,3,164,59,100.0,0,0
2026-01-06,P016,Running,135,5,131,64,100.0,0,0
2026-01-06,P017,Casual,132,7,127,57,100.0,0,0
2026-01-06,P018,Casual,146,8,142,63,100.0,0,0
2026-01-06,P019,Casual,169,7,165,64,100.0,0,0
2026-01-06,P020,Casual,167,11,159,52,100.0,0,0
2026-01-06,P021,Casual,162,4,159,62,100.0,0,0
2026-01-06,P022,Casual,89,2,88,46,95.65,0,0
2026-01-06,P023,Casual,224,3,222,62,100.0,0,0
2026-01-06,P024,Casual,174,7,170,50,100.0,0,0
2026-01-06,P025,Casual,209,8,204,57,100.0,0,0
2026-01-06,P026,Casual,139,5,136,45,100.0,0,0
2026-01-06,P027,Casual,118,8,112,43,100.0,0,0
2026-01-06,P028,Casual,218,4,215,57,100.0,0,0
2026-01-06,P029,Casual,184,11,177,60,100.0,0,0
2026-01-06,P030,Casual,130,1,130,49,100.0,0,0
2026-01-06,P031,Casual,171,2,170,48,100.0,0,0
2026-01-06,P032,Casual,51,5,47,25,94.0,0,0
2026-01-06,P033,Formal,101,3,99,52,95.19,0,0
2026-01-06,P034,Formal,110,4,107,39,100.0,0,0
2026-01-06,P035,Formal,227,0,227,64,100.0,0,0
2026-01-06,P036,Formal,65,1,65,31,100.0,0,0
2026-01-06,P037,Formal,180,3,178,50,100.0,0,0
2026-01-06,P038,Formal,108,0,108,44,100.0,0,0
2026-01-06,P039,Formal,89,2,88,40,100.0,0,0
2026-01-06,P040,Formal,70,3,69,25,100.0,0,0
2026-01-06,P041,Lounge,150,0,150,64,100.0,0,0
2026-01-06,P042,Lounge,213,4,211,64,100.0,0,0
2026-01-06,P043,Lounge,93,7,88,29,100.0,0,0
2026-01-06,P044,Lounge,71,5,67,30,100.0,0,0
2026-01-06,P045,Lounge,92,3,90,48,93.75,0,0
2026-01-06,P046,Lounge,99,1,99,34,100.0,0,0
2026-01-06,P047,Slip-On,176,8,172,60,100.0,0,0
2026-01-06,P048,Slip-On,188,3,186,60,100.0,0,0
2026-01-06,P049,Slip-On,97,1,97,32,100.0,0,0
2026-01-06,P050,Slip-On,189,5,185,50,100.0,0,0
2026-01-06,P051,Slip-On,179,3,177,53,100.0,0,0
2026-01-06,P052,Slip-On,163,3,162,58,100.0,0,0
2026-01-07,P001,Running,79,5,76,25,100.0,0,0
2026-01-07,P002,Running,139,10,131,39,100.0,0,0
2026-01-07,P003,Running,164,9,157,62,100.0,0,0
2026-01-07,P004,Running,166,7,161,64,100.0,0,0
2026-01-07,P005,Running,229,4,227,62,100.0,0,0
2026-01-07,P006,Running,149,14,141,52,100.0,0,0
2026-01-07,P007,Running,74,5,71,39,91.03,0,0
2026-01-07,P008,Running,109,12,99,40,100.0,0,0
2026-01-07,P009,Running,77,1,77,36,100.0,0,0
2026-01-07,P010,Running,195,8,190,56,100.0,0,0
2026-01-07,P011,Running,233,7,229,65,100.0,0,0
2026-01-07,P012,Running,96,5,93,43,100.0,0,0
2026-01-07,P013,Running,184,2,183,53,100.0,0,0
2026-01-07,P014,Running,214,14,206,63,100.0,0,0
2026-01-07,P015,Running,223,10,217,59,100.0,0,0
2026-01-07,P016,Running,131,6,126,64,98.44,0,0
2026-01-07,P017,Casual,122,6,117,57,100.0,0,0
2026-01-07,P018,Casual,123,16,113,63,89.68,0,0
2026-01-07,P019,Casual,245,7,241,64,100.0,0,0
2026-01-07,P020,Casual,200,0,200,52,100.0,0,0
2026-01-07,P021,Casual,118,10,110,62,88.71,0,0
2026-01-07,P022,Casual,93,4,91,46,98.91,0,0
2026-01-07,P023,Casual,131,8,126,62,100.0,0,0
2026-01-07,P024,Casual,149,7,145,50,100.0,0,0
2026-01-07,P025,Casual,189,5,186,57,100.0,0,0
2026-01-07,P026,Casual,96,10,89,45,98.89,0,0
2026-01-07,P027,Casual,94,5,90,43,100.0,0,0
2026-01-07,P028,Casual,175,8,168,57,100.0,0,0
2026-01-07,P029,Casual,225,1,225,60,100.0,0,0
2026-01-07,P030,Casual,92,6,88,49,89.8,0,0
2026-01-07,P031,Casual,164,2,163,48,100.0,0,0
2026-01-07,P032,Casual,79,8,75,25,100.0,0,0
2026-01-07,P033,Formal,105,1,105,52,100.0,0,0
2026-01-07,P034,Formal,99,1,99,39,100.0,0,0
2026-01-07,P035,Formal,243,1,243,64,100.0,0,0
2026-01-07,P036,Formal,114,1,114,31,100.0,0,0
2026-01-07,P037,Formal,117,2,116,50,100.0,0,0
2026-01-07,P038,Formal,164,3,162,44,100.0,0,0
2026-01-07,P039,Formal,149,0,149,40,100.0,0,0
2026-01-07,P040,Formal,49,3,48,25,96.0,0,0
2026-01-07,P041,Lounge,242,3,240,64,100.0,0,0
2026-01-07,P042,Lounge,198,2,197,64,100.0,0,0
2026-01-07,P043,Lounge,55,1,55,29,94.83,0,0
2026-01-07,P044,Lounge,112,0,112,30,100.0,0,0
2026-01-07,P045,Lounge,95,2,94,48,97.92,0,0
2026-01-07,P046,Lounge,126,0,126,34,100.0,0,0
2026-01-07,P047,Slip-On,170,7,166,60,100.0,0,0
2026-01-07,P048,Slip-On,188,1,188,60,100.0,0,0
2026-01-07,P049,Slip-On,76,1,76,32,100.0,0,0
2026-01-07,P050,Slip-On,177,3,175,50,100.0,0,0
2026-01-07,P051,Slip-On,114,5,112,53,100.0,0,0
2026-01-07,P052,Slip-On,200,4,198,58,100.0,0,0
2026-01-08,P001,Running,84,10,76,25,100.0,0,0
2026-01-08,P002,Running,127,7,122,39,100.0,0,0
2026-01-08,P003,Running,117,6,113,62,91.13,0,0
2026-01-08,P004,Running,235,4,233,64,100.0,0,0
2026-01-08,P005,Running,138,9,132,62,100.0,0,0
2026-01-08,P006,Running,157,11,150,52,100.0,0,0
2026-01-08,P007,Running,84,4,82,39,100.0,0,0
2026-01-08,P008,Running,110,8,105,40,100.0,0,0
2026-01-08,P009,Running,92,7,88,36,100.0,0,0
2026-01-08,P010,Running,191,12,185,56,100.0,0,0
2026-01-08,P011,Running,174,8,167,65,100.0,0,0
2026-01-08,P012,Running,138,4,135,43,100.0,0,0
2026-01-08,P013,Running,142,5,139,53,100.0,0,0
2026-01-08,P014,Running,235,8,229,63,100.0,0,0
2026-01-08,P015,Running,134,2,133,59,100.0,0,0
2026-01-08,P016,Running,146,11,137,64,100.0,0,0
2026-01-08,P017,Casual,185,2,184,57,100.0,0,0
2026-01-08,P018,Casual,204,4,201,63,100.0,0,0
2026-01-08,P019,Casual,212,9,207,64,100.0,0,0
2026-01-08,P020,Casual,172,6,167,52,100.0,0,0
2026-01-08,P021,Casual,121,1,121,62,97.58,0,0
2026-01-08,P022,Casual,130,4,127,46,100.0,0,0
2026-01-08,P023,Casual,154,7,149,62,100.0,0,0
2026-01-08,P024,Casual,149,3,148,50,100.0,0,0
2026-01-08,P025,Casual,180,11,172,57,100.0,0,0
2026-01-08,P026,Casual,122,4,119,45,100.0,0,0
2026-01-08,P027,Casual,85,4,83,43,96.51,0,0
2026-01-08,P028,Casual,128,3,127,57,100.0,0,0
2026-01-08,P029,Casual,143,9,138,60,100.0,0,0
2026-01-08,P030,Casual,118,3,116,49,100.0,0,0
2026-01-08,P031,Casual,129,10,123,48,100.0,0,0
2026-01-08,P032,Casual,96,8,90,25,100.0,0,0
2026-01-08,P033,Formal,152,8,146,52,100.0,0,0
2026-01-08,P034,Formal,89,8,85,39,100.0,0,0
2026-01-08,P035,Formal,242,3,241,64,100.0,0,0
2026-01-08,P036,Formal,60,0,60,31,96.77,0,0
2026-01-08,P037,Formal,109,5,106,50,100.0,0,0
2026-01-08,P038,Formal,117,7,113,44,100.0,0,0
2026-01-08,P039,Formal,94,0,94,40,100.0,0,0
2026-01-08,P040,Formal,75,5,72,25,100.0,0,0
2026-01-08,P041,Lounge,187,4,184,64,100.0,0,0
2026-01-08,P042,Lounge,168,3,166,64,100.0,0,0
2026-01-08,P043,Lounge,57,2,56,29,96.55,0,0
2026-01-08,P044,Lounge,73,0,73,30,100.0,0,0
2026-01-08,P045,Lounge,121,2,120,48,100.0,0,0
2026-01-08,P046,Lounge,75,3,73,34,100.0,0,0
2026-01-08,P047,Slip-On,222,1,222,60,100.0,0,0
2026-01-08,P048,Slip-On,125,2,124,60,100.0,0,0
2026-01-08,P049,Slip-On,100,1,100,32,100.0,0,0
2026-01-08,P050,Slip-On,119,11,110,50,100.0,0,0
2026-01-08,P051,Slip-On,127,4,124,53,100.0,0,0
2026-01-08,P052,Slip-On,200,6,195,58,100.0,0,0
2026-01-09,P001,Running,77,5,74,25,100.0,0,0
2026-01-09,P002,Running,90,6,87,39,100.0,0,0
2026-01-09,P003,Running,222,2,221,62,100.0,0,0
2026-01-09,P004,Running,239,9,234,64,100.0,0,0
2026-01-09,P005,Running,231,2,230,62,100.0,0,0
2026-01-09,P006,Running,190,5,187,52,100.0,0,0
2026-01-09,P007,Running,81,5,77,39,98.72,0,0
2026-01-09,P008,Running,101,6,97,40,100.0,0,0
2026-01-09,P009,Running,93,7,88,36,100.0,0,0
2026-01-09,P010,Running,136,6,132,56,100.0,0,0
2026-01-09,P011,Running,161,10,156,65,100.0,0,0
2026-01-09,P012,Running,109,5,106,43,100.0,0,0
2026-01-09,P013,Running,176,3,175,53,100.0,0,0
2026-01-09,P014,Running,186,15,175,63,100.0,0,0
2026-01-09,P015,Running,135,5,132,59,100.0,0,0
2026-01-09,P016,Running,184,6,179,64,100.0,0,0
2026-01-09,P017,Casual,142,5,140,57,100.0,0,0
2026-01-09,P018,Casual,165,4,163,63,100.0,0,0
2026-01-09,P019,Casual,245,8,239,64,100.0,0,0
2026-01-09,P020,Casual,170,1,170,52,100.0,0,0
2026-01-09,P021,Casual,234,7,228,62,100.0,0,0
2026-01-09,P022,Casual,163,6,160,46,100.0,0,0
2026-01-09,P023,Casual,213,8,208,62,100.0,0,0
2026-01-09,P024,Casual,190,8,186,50,100.0,0,0
2026-01-09,P025,Casual,169,12,159,57,100.0,0,0
2026-01-09,P026,Casual,144,8,138,45,100.0,0,0
2026-01-09,P027,Casual,162,4,159,43,100.0,0,0
2026-01-09,P028,Casual,192,5,188,57,100.0,0,0
2026-01-09,P029,Casual,128,2,127,60,100.0,0,0
2026-01-09,P030,Casual,133,5,130,49,100.0,0,0
2026-01-09,P031,Casual,125,16,115,48,100.0,0,0
2026-01-09,P032,Casual,85,9,79,25,100.0,0,0
2026-01-09,P033,Formal,156,3,154,52,100.0,0,0
2026-01-09,P034,Formal,124,3,122,39,100.0,0,0
2026-01-09,P035,Formal,175,4,173,64,100.0,0,0
2026-01-09,P036,Formal,106,3,104,31,100.0,0,0
2026-01-09,P037,Formal,167,1,167,50,100.0,0,0
2026-01-09,P038,Formal,128,3,127,44,100.0,0,0
2026-01-09,P039,Formal,118,6,114,40,100.0,0,0
2026-01-09,P040,Formal,55,6,51,25,100.0,0,0
2026-01-09,P041,Lounge,150,2,149,64,100.0,0,0
2026-01-09,P042,Lounge,210,3,209,64,100.0,0,0
2026-01-09,P043,Lounge,95,2,94,29,100.0,0,0
2026-01-09,P044,Lounge,87,1,87,30,100.0,0,0
2026-01-09,P045,Lounge,99,1,99,48,100.0,0,0
2026-01-09,P046,Lounge,82,8,76,34,100.0,0,0
